customer_id,age,employment_type,employment_months,monthly_income,monthly_expenses,existing_debt,credit_history_months,income_stability,repayment_history,late_payment_count,transaction_count,avg_transaction,cashflow_volatility,digital_payment_ratio,account_age_months,suspicious_transaction_count,connected_accounts,device_fingerprint,loan_amount,loan_term,p_default,default,risk_band,fraud_flag
1,25,salaried,118,129656.0443700367,96391.38174803526,801819.969447869,59,0.7252019072511405,0.6171072737337349,0,37,15631.03487805977,0.18949369999150145,0.8819096962294243,59,1,2,device_1,978364.7862627978,6,0.118258,0,LOW,False
2,39,freelancer,11,90533.15192976518,49051.80210620546,0.0,43,0.5278165163745687,0.8158417528538366,0,23,12796.122288575338,0.5087278900618392,0.8119098917393983,43,1,2,device_2,606169.979876899,12,0.24635,1,MEDIUM,False
3,29,small_shop_owner,83,61163.77094242636,40852.8482748876,0.0,37,0.5510622541170512,0.8832676046944106,2,89,2754.124602801411,0.4708066055558501,0.5307143166922285,37,0,1,device_3,603640.1656303752,12,0.298241,0,MEDIUM,False
4,28,online_seller,3,84651.03217153775,53118.22457897001,0.0,13,0.4935552814848646,0.7579831833336245,1,63,5058.878531330477,0.522720025025636,0.9879333497038918,20,0,1,device_4,538987.8420008624,12,0.547478,1,HIGH,False
5,46,driver,27,54869.10756438581,23227.250787768713,202373.9133582143,9,0.4640055343195823,0.5,1,32,4355.109522706634,0.4932692010467642,0.5737809536615072,25,1,2,device_5,159146.67271718686,18,0.54766,1,HIGH,False
6,55,small_business_owner,29,74190.76685504027,34196.36742265356,0.0,117,0.7014992942473225,0.7814369279627991,1,35,5862.234415312039,0.15378945851036877,0.4015950581468396,117,3,4,device_6,219894.7277107133,6,0.008189,0,LOW,False
7,41,informal_worker,13,21070.90094385691,13310.23164231004,64490.37268100863,22,0.35213083722550287,0.27347161883900734,3,49,1629.8242827318418,0.6657967262701288,0.2329995025957648,52,0,1,device_7,63929.73878954101,18,0.893251,1,HIGH,False
8,52,salaried,53,143260.81065391173,77181.46401717456,0.0,36,0.8032228236213078,0.9267350855611212,1,78,5937.035693628812,0.3964502655478709,1.0,43,1,1,device_8,761530.0547778108,18,0.044374,0,LOW,False
9,33,freelancer,19,41728.96639042643,31649.93164757867,118572.62990751858,48,0.6779176276945172,0.6399206722369128,3,29,6548.261720188691,0.2721528124515675,0.5722584350374463,48,0,4,device_9,481093.0010840835,12,0.529826,1,HIGH,False
10,43,small_shop_owner,32,49078.07998121815,22862.686247216883,0.0,71,0.5714254765484732,0.8399372437224991,2,91,1507.4298624538606,0.4571571374117811,0.5959002612560238,71,1,1,device_10,464666.1627117395,18,0.070291,0,LOW,False
11,21,online_seller,17,46867.940250397936,34328.191723558644,0.0,5,0.74811135186775,0.5,0,71,2900.9739484697443,0.21356991601865122,1.0,20,1,3,device_11,161177.67601833094,6,0.549159,1,HIGH,False
12,40,driver,51,29613.777622528236,13288.67932871728,149193.60723691658,23,0.6772726551932229,0.7447073594389589,2,83,960.6274213530563,0.2743104014734193,0.500849035845706,28,0,4,device_12,223642.6688643525,24,0.529735,1,HIGH,False
13,34,small_business_owner,55,71050.9395595869,55881.049899926475,0.0,119,0.7273873996166685,0.863956599831768,1,53,6326.156592444506,0.3931979624721548,0.4906374243384587,119,1,4,device_13,407963.1576420296,36,0.022388,0,LOW,False
14,55,informal_worker,26,41024.71895256975,20476.906947190775,140303.47947690033,11,0.12395457055308112,0.5,2,37,3320.579504949855,0.7588887665643846,0.14476265648179543,35,0,2,device_14,459874.9858792696,24,0.943026,1,HIGH,False
15,26,salaried,38,73825.20556728527,30154.584888265304,0.0,43,0.6850125029956021,0.8234688406713857,1,74,2444.9663422917815,0.35016313784431824,0.7579733021366801,43,2,1,device_15,331761.30165197037,6,0.059179,0,LOW,False
16,41,freelancer,35,43940.32959420752,32225.10926031535,101579.98842125632,39,0.4165106233619899,0.6017446193840993,5,90,2148.3406173543567,0.5582916388173215,0.7728843768153703,58,1,2,device_16,149295.35963017013,6,0.516367,1,HIGH,False
17,35,small_shop_owner,80,47791.34672908805,26120.694135061698,0.0,46,0.4659366314100635,0.8217233172425334,2,63,2487.6851557201617,0.6518045574877059,0.46586300183943646,46,1,3,device_17,446798.032746247,18,0.187182,0,LOW,False
18,34,online_seller,3,90250.33478281258,58279.324820199356,0.0,19,0.5584477025475997,0.639684879165398,0,42,8325.617831457052,0.3243515781929187,0.8222580236450588,35,0,4,device_18,266282.8885758742,6,0.409156,0,MEDIUM,False
19,31,driver,59,45035.06799118474,27428.730214308733,0.0,43,0.325045258968228,0.5029672947960082,1,45,3657.1640285744975,0.5167953010863777,0.7713923572080263,43,1,4,device_19,211905.73056117856,18,0.289282,0,MEDIUM,False
20,47,small_business_owner,91,73641.74729374994,57031.92375456226,0.0,24,0.7460072637224193,0.46368352992591544,3,82,4173.0675917972385,0.3868887953212796,0.728519097384979,24,1,2,device_20,580486.964360101,6,0.358098,1,MEDIUM,False
21,37,informal_worker,16,28629.538855252395,14834.212619036198,136027.19845962324,1,0.10772885507292895,0.5,1,92,967.4486490675781,0.9446899292083482,0.24144112689928307,8,0,4,device_21,343298.15472629166,6,0.972391,1,HIGH,False
22,51,salaried,32,68139.66542857194,28046.27274980772,0.0,92,0.8775053648938081,0.7131150943846964,2,36,4674.37879163462,0.11074041837337881,0.874427856303611,92,0,3,device_22,682053.4209323787,24,0.005719,0,LOW,False
23,27,freelancer,22,95849.66271829097,39879.26049503135,0.0,39,0.709322335872123,0.6109693828311095,2,74,3233.4535536511903,0.14262401287137536,0.6167799219399521,39,0,3,device_23,782429.3944146956,36,0.214788,0,MEDIUM,False
24,40,small_shop_owner,51,74026.80568053413,32326.647502202075,0.0,63,0.7613956389882182,0.7592634679488972,1,67,2894.9236569136187,0.2747965464046662,0.5980992483292251,63,0,4,device_24,524370.90522286,36,0.06269,0,LOW,False
25,27,online_seller,17,38345.22683384213,19603.23868550756,0.0,7,0.5583257362159335,0.5,1,95,1238.0992854004774,0.474981301045892,0.8961205728069216,38,0,1,device_25,302277.8190977852,12,0.343266,1,MEDIUM,False
26,22,driver,10,39644.001545490115,19434.962224491763,0.0,48,0.832467739491542,0.6645752507800095,1,49,2379.79129279491,0.1336064121200565,0.7095777299101538,48,0,2,device_26,371347.61761858524,6,0.089592,0,LOW,False
